used_keys,combination
"(""'doi'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""']]"
"(""'number'"", ""'pages'"")",[]
"(""'author'"", ""'doi'"", ""'journal'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'pages\'""', '""\'year\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""']]"
"(""'journal'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'doi'"", ""'journal'"", ""'number'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'pages'"", ""'year'"")","[['""\'author\'""', '""\'pages\'""', '""\'year\'""']]"
"(""'doi'"", ""'journal'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'pages'"",)",[]
"(""'author'"", ""'doi'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'doi'"", ""'number'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'number\'""', '""\'title\'""']]"
"(""'doi'"", ""'journal'"")","[['""\'doi\'""', '']]"
"(""'journal'"",)",[]
"(""'author'"", ""'journal'"", ""'number'"", ""'pages'"")","[['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'author'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'author\'""', '""\'pages\'""', '""\'year\'""']]"
"(""'doi'"", ""'number'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'number'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""']]"
"(""'doi'"", ""'journal'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'year'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""'], ['""\'author\'""', '""\'pages\'""', '""\'year\'""'], ['""\'author\'""', '""\'journal\'""', '""\'year\'""'], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'author'"", ""'journal'"", ""'pages'"")","[['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'doi'"", ""'pages'"")","[['""\'doi\'""', '']]"
"(""'doi'"", ""'journal'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'journal'"", ""'number'"", ""'pages'"", ""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""'], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'journal'"", ""'number'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""']]"
"(""'author'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""']]"
"(""'journal'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'pages'"")","[['""\'doi\'""', '']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'pages'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'journal'"", ""'pages'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'journal'"", ""'number'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'author'"", ""'number'"", ""'pages'"", ""'title'"")","[['""\'pages\'""', '""\'title\'""'], ['""\'number\'""', '""\'title\'""'], ['""\'author\'""', '""\'number\'""', '""\'pages\'""']]"
"(""'title'"", ""'year'"")","[['""\'title\'""', '""\'year\'""']]"
"(""'author'"", ""'doi'"", ""'journal'"", ""'pages'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'pages\'""', '""\'title\'""'], ['""\'journal\'""', '""\'title\'""'], ['""\'journal\'""', '""\'pages\'""']]"
"(""'doi'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""']]"
"(""'author'"", ""'journal'"", ""'number'"")",[]
"(""'doi'"", ""'number'"", ""'title'"")","[['""\'doi\'""', ''], ['""\'number\'""', '""\'title\'""']]"
"(""'number'"", ""'title'"")","[['""\'number\'""', '""\'title\'""']]"
"(""'author'"", ""'doi'"", ""'number'"", ""'title'"", ""'year'"")","[['""\'doi\'""', ''], ['""\'title\'""', '""\'year\'""'], ['""\'number\'""', '""\'title\'""']]"
