,ref_id,features,target
10,f1_1002358,"[1, 1, 0, 0, 0.994, 0.0, 0.0, 0.0, 0.0, 0, 0.18745, 0.2142857142857143, 0.0490196078431373, 1, 0, 0, 1, 0, 0.0, 0, 1, 0, 1, 0.0, 0.0, 0.0, 1, 0.2545454545454545, 0, 1, 1, 0.21428571428571427, 0, 0, 1, 0.21428571428571427, 0, 0, 0, 0, 1, 0.2545454545454545, 0, 0, 1, 0.007272727272727273, 0, 1]",False
11,f1_1002358,"[0, 0, 0, 0, 0.994, 0, 0, 0, 0, 0, 0.08274583333333334, 0.0, 0.02941176470588236, 1, 1, 1.0, 1, 0, 0.0, 0.8831, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0.07954545454545454, 0, 0, 1, 0.004545454545454545, 1, 1]",False
12,f1_1002358,"[0, 0, 0, 0, 0.994, 0, 0, 0, 0, 0, 0.13312666666666667, 0.1428571428571429, 0.0490196078431373, 1, 0, 0, 1, 0, 0.0, 0.44155, 1, 0, 1, 0.0, 0.0, 0.0, 1, 0.2692307692307692, 0, 1, 1, 0.09375, 0, 0, 1, 0.09375, 0, 0, 0, 0, 1, 0.2692307692307692, 0, 1, 1, 0.015384615384615385, 1, 1]",False
13,f1_1002358,"[1, 1, 0, 0, 0.994, 0.0, 0.0, 0.0, 0.0, 0, 0.14162142857142856, 0.09999999999999998, 0.0826446280991735, 1, 1, 1.0, 1, 1, 0.0, 0, 1, 0, 1, 0.0, 0.0, 0.0, 1, 0.08130081300813008, 1, 1, 1, 0.16666666666666666, 0, 0, 1, 0.16666666666666666, 0, 0, 0, 1, 1, 0.08130081300813008, 0, 1, 1, 0.0032520325203252032, 0, 1]",False
14,f1_1002358,"[1, 1, 0, 0, 0.994, 0.0, 0.0, 0.0, 0.0, 0, 0.11579411764705883, 0.0714285714285714, 0.02941176470588236, 1, 1, 1.0, 1, 1, 0.0, 0.44155, 1, 0, 1, 0.0, 0.0, 0.0, 1, 0.15, 1, 1, 1, 0.08823529411764706, 0, 0, 1, 0.08823529411764706, 0, 0, 0, 1, 1, 0.15, 1, 1, 1, 0.006666666666666667, 0, 1]",False
15,f1_1002358,"[1, 1, 0, 0, 0.994, 0.0, 0.0, 0.0, 0.0, 0, 0.07105714285714286, 0.05405405405405406, 0.06399999999999995, 1, 1, 1.0, 1, 0, 0.0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0.0015923566878980893, 0, 0, 0, 0, 0, 0, 1, 0.18181818181818182, 0, 0, 1, 0.0014641288433382138, 0, 0]",False
16,f1_1002358,"[1, 1, 0, 0, 0.994, 0.0, 0.0, 0.0, 0.0, 0, 0.05815294117647059, 0.0, 0.039215686274509776, 1, 1, 1.0, 1, 1, 0.0, 0.44155, 1, 0, 1, 0.0, 0.0, 0.0, 1, 0.3076923076923077, 1, 1, 1, 0.08333333333333333, 0, 0, 1, 0.08333333333333333, 0, 0, 0, 1, 1, 0.3076923076923077, 1, 1, 1, 0.010471204188481676, 0, 1]",False
17,f1_1002358,"[1, 1, 0, 0, 0.994, 0.0, 0.0, 0.0, 0.0, 0, 0.15986, 0.0625, 0.07246376811594202, 1, 1, 1.0, 1, 1, 0.0, 0, 1, 0, 1, 0.0, 0.0, 0.0, 1, 0.10714285714285714, 1, 1, 1, 0.8787878787878788, 0, 0, 1, 0.8787878787878788, 0, 0, 0, 1, 1, 0.10714285714285714, 0, 1, 1, 0.002857142857142857, 0, 1]",False
18,f1_1002780,"[1, 1, 0, 0, 0.9945, 0.0, 0.0, 0.0, 0.0, 0, 0.5949333333333333, 0.8, 0.8709677419354839, 1, 0, 0, 1, 0, 0.0, 0, 0, 0, 1, 0.0, 0.0, 0.0, 1, 1.0, 0, 1, 1, 0.1, 0, 0, 1, 0.1, 1, 0.06666666666666667, 0, 1, 1, 1.0, 0, 1, 1, 0.007142857142857143, 0, 1]",False
19,f1_1002780,"[1, 1, 1, 1, 0.9945, 1.0, 1.0, 1.0, 1.0, 0.9945, 0.1813090909090909, 0.09999999999999998, 0.19354838709677424, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0.0, 0.0, 0.0, 1, 0.32432432432432434, 0, 1, 1, 0.07692307692307693, 0, 0, 1, 0.07692307692307693, 1, 0.06666666666666667, 0, 0, 1, 0.32432432432432434, 0, 1, 1, 0.010810810810810811, 0, 1]",False
