used_keys,combination
"('author', 'doi', 'journal', 'title', 'year')","[[""'doi'"", ''], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'title'""], [""'doi'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'doi'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'"", ""'year'""], [""'author'"", ""'title'"", ""'year'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'title'"", '']]"
"('author', 'doi', 'journal', 'year')","[[""'doi'"", ''], [""'author'"", ""'doi'""], [""'doi'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'author'"", ""'journal'"", ""'year'""]]"
"('doi', 'journal', 'pages', 'title', 'year')","[[""'pages'"", ""'title'""], [""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'year'""], [""'doi'"", ""'pages'"", ""'year'""], [""'doi'"", ""'pages'"", ""'title'"", ""'year'""], [""'doi'"", ""'pages'""], [""'doi'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'"", ""'year'""], [""'journal'"", ""'title'""], [""'journal'"", ""'pages'"", ""'year'""], [""'journal'"", ""'pages'"", ""'title'"", ""'year'""], [""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'""], [""'title'"", ""'year'""], [""'title'"", '']]"
"('author', 'doi', 'journal', 'pages')","[[""'doi'"", ''], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'pages'""], [""'doi'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'""], [""'journal'"", ""'pages'""], [""'author'"", ""'pages'""]]"
"('author', 'doi', 'pages')","[[""'doi'"", ''], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'pages'""], [""'doi'"", ""'pages'""], [""'author'"", ""'pages'""]]"
"('author', 'doi', 'number', 'title', 'year')","[[""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'number'"", ""'title'"", ""'year'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'number'""], [""'doi'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'""], [""'author'"", ""'doi'"", ""'title'""], [""'author'"", ""'doi'"", ""'number'"", ""'year'""], [""'doi'"", ""'year'""], [""'author'"", ""'doi'"", ""'year'""], [""'doi'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'number'"", ""'title'"", ""'year'""], [""'author'"", ""'doi'"", ""'title'"", ""'year'""], [""'doi'"", ""'number'"", ""'year'""], [""'author'"", ""'number'"", ""'title'""], [""'author'"", ""'title'"", ""'year'""], [""'number'"", ""'title'""], [""'title'"", ""'year'""], [""'author'"", ""'title'""], [""'author'"", ""'number'"", ""'year'""], [""'title'"", '']]"
"('doi', 'number', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'""], [""'doi'"", ''], [""'doi'"", ""'number'""], [""'doi'"", ""'title'""], [""'doi'"", ""'number'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'number'"", ""'pages'""], [""'doi'"", ""'number'"", ""'pages'"", ""'title'""], [""'doi'"", ""'pages'""], [""'number'"", ""'title'""], [""'title'"", '']]"
"('author', 'number', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'number'"", ""'pages'"", ""'title'""], [""'author'"", ""'number'"", ""'title'""], [""'author'"", ""'number'"", ""'pages'""], [""'number'"", ""'title'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'title'"", '']]"
"('author', 'number', 'pages', 'year')","[[""'author'"", ""'number'"", ""'pages'"", ""'year'""], [""'author'"", ""'number'"", ""'pages'""], [""'author'"", ""'pages'"", ""'year'""], [""'author'"", ""'pages'""], [""'author'"", ""'number'"", ""'year'""], [""'number'"", ""'pages'"", ""'year'""]]"
"('author', 'doi', 'journal', 'pages', 'title')","[[""'pages'"", ""'title'""], [""'author'"", ""'pages'"", ""'title'""], [""'doi'"", ''], [""'doi'"", ""'title'""], [""'author'"", ""'doi'""], [""'author'"", ""'doi'"", ""'pages'""], [""'author'"", ""'doi'"", ""'title'""], [""'doi'"", ""'pages'"", ""'title'""], [""'author'"", ""'doi'"", ""'pages'"", ""'title'""], [""'doi'"", ""'pages'""], [""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'title'""], [""'author'"", ""'journal'"", ""'pages'""], [""'author'"", ""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'"", ""'title'""], [""'journal'"", ""'pages'""], [""'author'"", ""'title'""], [""'author'"", ""'pages'""], [""'title'"", '']]"
